ZCTA20,ZCTA_AREA20,TOT_POP_2020,COUNT_NTM_STOPS,STOPS_PER_CAPITA,STOPS_PER_SQMILE
02664,6.984616756,8565,6,0.700525403,0.859030664
02666,12.55204582,366,4,10.92896175,0.318673164
02667,16.9277916,3556,5,1.406074286,0.295372248
02668,14.31696987,2696,1,0.370919883,0.069847181
02670,2.12390542,1190,0,0,0
02671,1.73425889,940,0,0,0
02672,0.493840098,261,0,0,0
02673,9.270378113,8875,2,0.225352109,0.215740934
02675,8.763503075,6392,0,0,0
02702,16.8029995,4450,1,0.224719107,0.059513185
02703,26.76268959,45023,78,1.732447863,2.914505243
02713,3.58301425,37,0,0,0
02715,11.17876434,3934,0,0,0
02717,22.18044281,4914,0,0,0
02718,10.28865147,6748,10,1.4819206,0.97194469
02719,12.38263989,16072,35,2.177700281,2.826537848
02720,13.18264866,30579,177,5.788286209,13.42674065
02721,4.023013115,25826,131,5.072407723,32.5626564
02723,1.594701171,15340,62,4.041720867,38.87875748
02724,1.801023722,17506,88,5.026847839,48.86109924
02725,2.373317957,2647,3,1.133358479,1.264053106
02726,5.526461124,15513,19,1.224779248,3.438004732
02738,14.12381458,5148,2,0.388500392,0.141604811
02739,17.33480263,6374,2,0.313774705,0.115374833
02740,5.747407913,43444,232,5.340208054,40.36602402
02743,18.05832863,10589,0,0,0
02744,1.300939918,11695,39,3.33475852,29.97832489
02745,9.819538116,24836,93,3.744564295,9.470913887
02746,2.849001408,15283,56,3.664201975,19.65600967
02747,41.0028038,23051,57,2.472777844,1.390148878
02748,23.20936203,11212,16,1.427042484,0.68937701
02760,17.95851708,27615,29,1.050153852,1.61483264
02762,10.98773098,9227,8,0.867020726,0.728084803
02763,0.896992922,1666,6,3.601440668,6.689015865
02764,10.89981747,3911,3,0.767067254,0.275233954
02766,27.83335495,19874,14,0.704437971,0.502993643
02767,24.75109291,14626,13,0.888828099,0.525229335
02769,46.93735886,12285,0,0,0
02770,32.3568573,5461,0,0,0
02771,18.39148903,15613,2,0.128098384,0.108745955
02777,22.63327599,16692,5,0.299544692,0.220913664
02779,16.51260185,6801,0,0,0
02780,33.12574387,50299,102,2.027873278,3.079176188
02790,53.88694,15879,33,2.078216553,0.61239326
02791,1.302741885,373,0,0,0
02802,0.193375409,501,0,0,0
02804,11.78967285,2005,3,1.496259332,0.254459977
02806,8.184720039,16106,30,1.862659931,3.66536665
02807,9.081645966,871,0,0,0
02808,7.586434364,2466,0,0,0
02809,9.788705826,22095,57,2.579769135,5.823037624
02812,3.994450808,1300,0,0,0
02813,36.69538879,7832,0,0,0
02814,43.39039993,8033,34,4.232540608,0.783583462
02815,2.716104746,150,0,0,0
02816,36.94498062,32683,68,2.080592394,1.840574741
02817,50.29730225,6297,1,0.158805788,0.019881781
02818,21.22578812,18790,58,3.086748362,2.73252511
02822,54.35212326,6018,17,2.824858666,0.312775284
02823, , ,0, , 
02824, , ,0, , 
02825,55.03701019,5964,0,0,0
02826,2.435411453,382,0,0,0
02827,21.44150162,2194,0,0,0
02828,4.346055985,7528,27,3.586610079,6.212529182
02829, , ,1, , 
02830,20.40460396,5624,13,2.311522007,0.637111127
02831,10.75231838,3725,0,0,0
02832,24.79284668,4713,0,0,0
02833,3.499512911,932,0,0,0
02835,9.367778778,5494,18,3.276301384,1.92148006
02836,0.281715184,165,0,0,0
02837,20.54613876,3496,0,0,0
02838,1.396840334,3521,0,0,0
02839,4.31030798,2100,9,4.28571415,2.088017941
02840,7.27807188,22976,129,5.614554405,17.72447395
02841,0.344521284,1792,0,0,0
02842,12.53751659,15931,77,4.833343983,6.14156723
02852,30.82188034,21653,114,5.2648592,3.698671103
02857,43.16769791,7969,34,4.266532898,0.787625969
02858,0.618248403,613,0,0,0
02859,27.63721657,7992,5,0.62562561,0.180915475
02860,5.337569237,47175,182,3.857975721,34.09791946
02861,3.571650028,24764,90,3.634307861,25.19843674
02863,1.193895817,19437,36,1.852137685,30.15338516
02864,26.46926689,34936,54,1.545683503,2.040101767
02865,16.47418785,17876,59,3.300514698,3.581360102
02871,17.0682354,17108,103,6.020575047,6.034601688
02872,5.948060989,204,0,0,0
02873,3.759062767,130,0,0,0
02874,15.56410313,6620,29,4.380664825,1.863261819
02875,1.776111603,439,0,0,0
02876,0.199220225,577,0,0,0
02878,29.06501579,15730,3,0.190718368,0.103216872
02879,39.49384689,20851,48,2.302047968,1.215379238
02881,3.368371487,7593,18,2.370604515,5.343828678
02882,12.8399353,14204,115,8.096310616,8.956431389
02885,6.158257008,10451,35,3.34896183,5.68342638
02886,15.79649353,29443,162,5.502156735,10.25544071
02888,5.897028923,17901,112,6.256633759,18.99261475
02889,8.455835342,27531,121,4.395045757,14.3096447
02891,26.28274345,21196,5,0.235893562,0.190238893
02892,27.21060371,5502,18,3.271537542,0.661506832
02893,7.832517624,29283,79,2.697811127,10.08615685
02894,4.203100204,512,0,0,0
02895,7.763933182,41616,89,2.138600588,11.4632616
02896,23.02626038,11901,16,1.344424844,0.694858789
02898,11.88502026,1137,1,0.879507482,0.084139526
02903,1.678045869,11443,124,10.83631897,73.8954773
02904,5.176318169,29881,160,5.35457325,30.91000175
02905,3.744468451,26020,100,3.843197584,26.70606041
02906,3.099218845,28254,77,2.725277901,24.8449707
