Park,Location,Zip Code,Park_Class
WASHINGTON (HAROLD),5200 S HYDE PARK BLVD,60615,NEIGHBORHOOD PARK
"BOLER (LEO ROSCOE, SR.)",3601 W ARTHINGTON ST,60624,NEIGHBORHOOD PARK
STARR (ELLEN GATES),2306 W MAYPOLE AVE,60612,NEIGHBORHOOD PARK
WILSON (JOHN) COMM. CTR.,3225 S RACINE AVE,60608,COMMUNITY PARK
"BENIAC (JOHN ""BEANS"") GREENWAY",3925 E 104TH ST,60617,LINEAR PARK
CANAL ORIGINS,2701 S ASHLAND AVE,60608,LINEAR PARK
WEBSTER (DANIEL),1401 S INDIANA AVE,60605,PASSIVE PARK
PARK NO. 514,1434 N MONTICELLO AVE,60651,PASSIVE PARK
ALGONQUIN,2941 N WASHTENAW AVE,60618,MINI-PARK
PARK NO. 500,730 S SPRINGFIELD AVE,60624,NEIGHBORHOOD PARK
SCHAFER (CLARA D.),8900 S GREEN BAY AVE,60617,PASSIVE PARK
COLISEUM,1466 S WABASH AV,60605,NEIGHBORHOOD PARK
RENAISSANCE,1300 W 79TH ST,60620,PASSIVE PARK
LIVINGSTON FIELD,2139-59 W. LEXINGTON ST,60612,NEIGHBORHOOD PARK
WARD (A. MONTGOMERY),630 N KINGSBURY AVE,60610,NEIGHBORHOOD PARK
PARK NO. 512,1800 N ASHLAND AVE,60614,PASSIVE PARK
MANDRAKE (HENRY BROWN),900 E PERSHING RD.,60653,COMMUNITY PARK
NOTTINGHAM,7101 W 63RD ST,60638,PASSIVE PARK
WASHINGTON (HAROLD) MEM.,7710 N PAULINA ST,60626,MINI-PARK
HOMAN SQUARE COMMUNITY CENTER,3517 W ARTHINGTON ST,60624,COMMUNITY PARK
CANALPORT RIVERWALK,2900 S ASHLAND AVE,60608,LINEAR PARK
PARK NO. 517,5914-24 N SHERIDAN RD,60660,PASSIVE PARK
TRIANGLE,1750 W JUNEWAY TER,60626,PASSIVE PARK
PARK NO. 519,1944 S ST LOUIS AVE,60623,MINI-PARK
PALMER (BERTHA HONORÉ),916 N HONORE ST,60622,MINI-PARK
WARNER GARDEN,1426 W WARNER AVE,60613,PASSIVE PARK
WANG (CHI CHE),1719 W WOLFRAM ST,60657,NEIGHBORHOOD PARK
STEELWORKERS,E 87TH ST AT THE LAKE,60617,PASSIVE PARK
HARRIS (HARRIET),6200 S DREXEL AVE,60637,COMMUNITY PARK
STONE (BERNARD L.),3140 W PETERSON AVE,60659,LINEAR PARK
PARK NO. 527,6200 S LaSALLE ST,60621,UNIMPROVED PARK
PARK NO. 528,6336 S KILBOURN AVE,60629,NEIGHBORHOOD PARK
PARK NO. 529,2155 W WABANSIA AVE,60647,PASSIVE PARK
DALEY (RICHARD J.),3150 S WESTERN AVE,60608,PASSIVE PARK
