School Name,address,Zip Code
GOUDY,5120 N WINTHROP Ave,60640
GRAHAM ES,4436 S UNION Ave,60609
GRAHAM HS,2347 S WABASH Ave,60616
GRAY,3730 N LARAMIE Ave,60641
GREAT LAKES,8401 S SAGINAW Ave,60617
GREELEY,832 W SHERIDAN Rd,60613
GREEN,1150 W 96TH St,60643
GREENE,3525 S HONORE St,60609
GREGORY,3715 W POLK St,60624
GRESHAM,8524 S GREEN St,60620
GRIMES,5450 W 64TH Pl,60638
GRISSOM,12810 S ESCANABA Ave,60633
GUNSAULUS,4420 S SACRAMENTO Ave,60632
HAINES,247 W 23RD Pl,60616
HALE,6140 S MELVINA Ave,60638
HALEY,11411 S EGGLESTON Ave,60628
HAMILTON,1650 W CORNELIA Ave,60657
HAMLINE,4747 S BISHOP St,60609
HAMMOND,2819 W 21ST Pl,60623
HAMPTON,3434 W 77TH St,60652
HANCOCK HS,5437 W 64TH Pl,60638
HANSON PARK,5411 W FULLERTON Ave,60639
HARLAN HS,9652 S MICHIGAN Ave,60628
HARTE,1556 E 56TH St,60637
HARVARD,7525 S HARVARD,60620
HAUGAN,4540 N HAMLIN Ave,60625
HAWTHORNE,3319 N CLIFTON Ave,60657
HAY,1018 N LARAMIE Ave,60651
HAYT,1518 W GRANVILLE Ave,60660
HEALY,3010 S PARNELL Ave,60616
HEARST,4640 S LAMON Ave,60638
HEDGES,4747 S WINCHESTER Ave,60609
HEFFERAN,4409 W WILCOX St,60624
HENDERSON,5650 S WOLCOTT Ave,60636
HENDRICKS,4316 S PRINCETON Ave,60609
HENRY,4250 N SAINT LOUIS Ave,60618
HERNANDEZ,3510 W 55TH St,60632
HERZL,3711 W DOUGLAS Blvd,60623
HIBBARD,3244 W AINSLIE St,60625
HIGGINS,11710 S MORGAN St,60643
HIRSCH HS,7740 S INGLESIDE Ave,60619
HITCH,5625 N MCVICKER Ave,60646
HOLDEN,1104 W 31ST St,60608
HOLMES,955 W GARFIELD Blvd,60621
HORIZON - SOUTHWEST,5401 S WESTERN Ave,60609
HOWE,720 N LOREL Ave,60644
HOYNE,8905 S CRANDON Ave,60617
HUBBARD HS,6200 S HAMLIN Ave,60629
HUGHES C,4247 W 15TH St,60623
HUGHES L,240 W 104TH St,60628
HURLEY,3849 W 69TH Pl,60629
HYDE PARK HS,6220 S STONY ISLAND Ave,60637
INFINITY HS,3120 S KOSTNER Ave,60623
INSTITUTO - HEALTH,2520 S WESTERN Ave,60608
INSTITUTO - JUSTICE HS,2570 S BLUE ISLAND Ave,60608
INTER-AMERICAN,851 W WAVELAND Ave,60613
INTRINSIC HS,4540 W BELMONT Ave,60641
IRVING,749 S OAKLEY Blvd,60612
JACKSON M,917 W 88TH St,60620
JAHN,3149 N WOLCOTT Ave,60657
JAMIESON,5650 N MOZART St,60659
JEFFERSON HS,1100 S HAMILTON Ave,60612
JENSEN,3030 W HARRISON St,60612
JOHNSON,1420 S ALBANY Ave,60623
JONES HS,700 S STATE St,60605
JOPLIN,7931 S HONORE St,60620
JORDAN,7414 N WOLCOTT Ave,60626
JUAREZ HS,1450 W CERMAK Rd,60608
JULIAN HS,10330 S ELIZABETH St,60643
JUNGMAN,1746 S MILLER St,60608
KANOON,2233 S KEDZIE Ave,60623
KELLER,3020 W 108TH St,60655
KELLMAN,3030 W ARTHINGTON St,60612
KELLOGG,9241 S LEAVITT St,60643
KELLY HS,4136 S CALIFORNIA Ave,60632
KELVYN PARK HS,4343 W WRIGHTWOOD Ave,60639
KENNEDY HS,6325 W 56TH St,60638
KENWOOD HS,5015 S BLACKSTONE Ave,60615
KERSHAW,6450 S LOWE Ave,60621
KILMER,6700 N GREENVIEW Ave,60626
KING ES,644 W 71ST St,60621
KING HS,4445 S DREXEL Blvd,60653
KINZIE,5625 S MOBILE Ave,60638
KIPLING,9351 S LOWE Ave,60620
KIPP - ACADEMY,4818 W OHIO St,60644
KIPP - ASCEND,1616 S AVERS Ave,60623
KIPP - BLOOM,5515 S LOWE Ave,60621
